  3                               7                                                            26   2^x-1
  4                              15                                                            80   2^x-1
  5                              31                                                          4616   2^x-1
  6                              63                                                          4616   2^x-1
  7                             111                                                          4616   
  8                             255                                                          6560   2^x-1
  9                             511                                                         19682   2^x-1
 10                             703                                                        125252   
 11                            2047                                                        638468   2^x-1
 12                            4095                                                        638468   2^x-1
 13                            6887                                                       4076810   
 14                           14495                                                      13557212   
 15                           31911                                                      60506432   
 16                           60975                                                     296639576   
 17                          113383                                                    1241055674   
 18                          239231                                                    8601188876   
 19                          487039                                                   12324038948   
 20                         1042431                                                   45119577824   
 21                         1988859                                                   78457189112   
 22                         3873535                                                  429277584788   
 23                         7460635                                                30171305459816   
 24                        12589823                                                30171305459816   
 25                        29457599                                               153148462601876   
 26                        57893375                                               237318849425546   
 27                       120080895                                              1638950788059290   
 28                       246666523                                              3202398580560632   
 29                       479707247                                            707118223359971240   
 30                       959414495                                            707118223359971240   
 31                      2115185915                                           3562942561397226080   
 32                      4015548263                                           3562942561397226080   
 33                      8528817511                                           9072297468678299012   
 34                     12987343015                                          10361199457202525864   
 35                     23035537407                                          34419078320774113520   
 36                     59436135663                                         102868194685920926084   
 37                    110243094271                                         686226824783134190180   
 38                    272025660543                                       10974241817835208981874   
 39                    446559217279                                       19766638455389030190536   
 40                    980633056999                                      200279370410625061016864   
