         7  3  5
        15  4  6
        31  5 11
        63  6 11
       111  7 11
       255  8 12
       511  9 14
       703 10 16
      2047 11 17
      4095 12 19
      6887 13 20
     14495 14 21
     31911 15 22
     60975 16 24
    113383 17 28
    239231 18 30
    487039 19 30
   1042431 20 33
   1988859 21 32
   3873535 22 35
   7460635 23 44
  12589823 24 44
  29457599 25 42
  57893375 26 44
 120080895 27 47
 246666523 28 49
 479707247 29 52
 959414495 30 52
2115185915 31 60
