         7  3  4  3
        15  4  4  3
        31  5  5  7
        63  6  6  8
       111  7  7  8
       255  8  8  8
       511  9  9  9
       703 10 10 10
      2047 11 11 12
      4095 12 12 12
      6887 13 13 13
     14495 14 14 15
     31911 15 15 16
     60975 16 16 18
    113383 17 17 19
    239231 18 18 20
    487039 19 19 21
   1042431 20 20 22
   1988859 21 21 23
   3873535 22 22 24
   7460635 23 23 28
  12589823 24 24 28
  29457599 25 25 29
  57893375 26 26 30
 120080895 27 27 32
 246666523 28 28 32
 479707247 29 29 37
 959414495 30 30 37
2115185915 31 31 39
4015548263 32 32 39
8528817511 33 33 39
