 3          7                     26                     82 
 4         15                     80                     90 
 5         31                   4616                   8530 
 6         63                   4616                   8946 
 7        111                   4616                   9202 
 8        255                   6560                  28245 
 9        511                  19682                  86014 
10        703                 125252                 782826 
11       2047                 638468                2362813 
12       4095                 638468                7117110 
13       6887                4076810               21408673 
14      14495               13557212              193038501 
15      31911               60506432              579787246 
16      60975              296639576             1740705225 
17     113383             1241055674             5224802650 
18     239231             8601188876            47039607846 
19     487039            12324038948           141150805105 
20    1042431            45119577824           423516378450 
21    1988859            78457189112          1270677061621 
22    3873535           429277584788         11436865306521 
23    7460635         30171305459816         34312126840522 
24   12589823         30171305459816        102939442363485 
25   29457599        153148462601876        308824450774294 
26   57893375        237318849425546       2779456866180546 
27  120080895       1638950788059290       8338444015638853 
28  246666523       3202398580560632      25015478881110990 
29  479707247     707118223359971240      75046730311721833 bad t
30  959414495     707118223359971240     675422335889571501 bad t
